experiment_id,model_version,draw_boost,favorite_dampening,underdog_boost,market_blend_weight,numerical_adjustment_weight,sample_count,hit_rate,brier,logloss,draw_brier,favorite_wrong_count,overconfident_wrong_count,upset_miss_count
E0152,exp-1.05-0.05-0.00-0.10-1.00,1.05,0.05,0.0,0.1,1.0,4,0.0000,0.5396,0.9116,0.8109,1,0,2
E0153,exp-1.05-0.05-0.00-0.20-0.00,1.05,0.05,0.0,0.2,0.0,4,0.0000,0.5396,0.9116,0.8109,1,0,2
E0154,exp-1.05-0.05-0.00-0.20-0.25,1.05,0.05,0.0,0.2,0.25,4,0.0000,0.5396,0.9116,0.8109,1,0,2
E0155,exp-1.05-0.05-0.00-0.20-0.50,1.05,0.05,0.0,0.2,0.5,4,0.0000,0.5396,0.9116,0.8109,1,0,2
E0156,exp-1.05-0.05-0.00-0.20-1.00,1.05,0.05,0.0,0.2,1.0,4,0.0000,0.5396,0.9116,0.8109,1,0,2
E0073,exp-1.00-0.10-0.00-0.00-0.00,1.0,0.1,0.0,0.0,0.0,4,0.0000,0.5418,0.9167,0.8268,1,0,2
E0074,exp-1.00-0.10-0.00-0.00-0.25,1.0,0.1,0.0,0.0,0.25,4,0.0000,0.5418,0.9167,0.8268,1,0,2
E0075,exp-1.00-0.10-0.00-0.00-0.50,1.0,0.1,0.0,0.0,0.5,4,0.0000,0.5418,0.9167,0.8268,1,0,2
E0076,exp-1.00-0.10-0.00-0.00-1.00,1.0,0.1,0.0,0.0,1.0,4,0.0000,0.5418,0.9167,0.8268,1,0,2
E0077,exp-1.00-0.10-0.00-0.10-0.00,1.0,0.1,0.0,0.1,0.0,4,0.0000,0.5418,0.9167,0.8268,1,0,2
E0078,exp-1.00-0.10-0.00-0.10-0.25,1.0,0.1,0.0,0.1,0.25,4,0.0000,0.5418,0.9167,0.8268,1,0,2
E0079,exp-1.00-0.10-0.00-0.10-0.50,1.0,0.1,0.0,0.1,0.5,4,0.0000,0.5418,0.9167,0.8268,1,0,2
E0080,exp-1.00-0.10-0.00-0.10-1.00,1.0,0.1,0.0,0.1,1.0,4,0.0000,0.5418,0.9167,0.8268,1,0,2
