match_id,model_name,snapshotted_at,locked_at,kickoff,is_pre_kickoff,legality,deletion_reason
2026-A-MEX-RSA-2026-06-11,elo-poisson-v1,2026-06-16 06:22:47,,2026-06-11 19:00:00,FALSE,ILLEGAL_POST_KICKOFF,snapshotted_at >= kickoff
2026-A-MEX-RSA-2026-06-11,elo-poisson-v1-drawboost-105-shadow,2026-06-16 06:22:47,,2026-06-11 19:00:00,FALSE,ILLEGAL_POST_KICKOFF,snapshotted_at >= kickoff
2026-A-MEX-RSA-2026-06-11,elo-poisson-v1-drawboost-110-shadow,2026-06-16 06:22:47,,2026-06-11 19:00:00,FALSE,ILLEGAL_POST_KICKOFF,snapshotted_at >= kickoff
2026-A-MEX-RSA-2026-06-11,elo-poisson-v1-favorite-dampened-shadow,2026-06-16 06:22:47,,2026-06-11 19:00:00,FALSE,ILLEGAL_POST_KICKOFF,snapshotted_at >= kickoff
2026-A-MEX-RSA-2026-06-11,elo-poisson-v1-low-score-shadow,2026-06-16 06:22:47,,2026-06-11 19:00:00,FALSE,ILLEGAL_POST_KICKOFF,snapshotted_at >= kickoff
2026-A-KOR-CZE-2026-06-11,elo-poisson-v1,2026-06-16 06:22:47,,2026-06-12 02:00:00,FALSE,ILLEGAL_POST_KICKOFF,snapshotted_at >= kickoff
2026-A-KOR-CZE-2026-06-11,elo-poisson-v1-drawboost-105-shadow,2026-06-16 06:22:47,,2026-06-12 02:00:00,FALSE,ILLEGAL_POST_KICKOFF,snapshotted_at >= kickoff
2026-A-KOR-CZE-2026-06-11,elo-poisson-v1-drawboost-110-shadow,2026-06-16 06:22:47,,2026-06-12 02:00:00,FALSE,ILLEGAL_POST_KICKOFF,snapshotted_at >= kickoff
2026-A-KOR-CZE-2026-06-11,elo-poisson-v1-favorite-dampened-shadow,2026-06-16 06:22:47,,2026-06-12 02:00:00,FALSE,ILLEGAL_POST_KICKOFF,snapshotted_at >= kickoff
2026-A-KOR-CZE-2026-06-11,elo-poisson-v1-low-score-shadow,2026-06-16 06:22:47,,2026-06-12 02:00:00,FALSE,ILLEGAL_POST_KICKOFF,snapshotted_at >= kickoff
2026-B-CAN-BIH-2026-06-12,elo-poisson-v1,2026-06-16 06:22:47,,2026-06-12 19:00:00,FALSE,ILLEGAL_POST_KICKOFF,snapshotted_at >= kickoff
2026-B-CAN-BIH-2026-06-12,elo-poisson-v1-drawboost-105-shadow,2026-06-16 06:22:47,,2026-06-12 19:00:00,FALSE,ILLEGAL_POST_KICKOFF,snapshotted_at >= kickoff
2026-B-CAN-BIH-2026-06-12,elo-poisson-v1-drawboost-110-shadow,2026-06-16 06:22:47,,2026-06-12 19:00:00,FALSE,ILLEGAL_POST_KICKOFF,snapshotted_at >= kickoff
2026-B-CAN-BIH-2026-06-12,elo-poisson-v1-favorite-dampened-shadow,2026-06-16 06:22:47,,2026-06-12 19:00:00,FALSE,ILLEGAL_POST_KICKOFF,snapshotted_at >= kickoff
2026-B-CAN-BIH-2026-06-12,elo-poisson-v1-low-score-shadow,2026-06-16 06:22:47,,2026-06-12 19:00:00,FALSE,ILLEGAL_POST_KICKOFF,snapshotted_at >= kickoff
2026-D-USA-PAR-2026-06-12,elo-poisson-v1,2026-06-16 06:22:47,,2026-06-13 01:00:00,FALSE,ILLEGAL_POST_KICKOFF,snapshotted_at >= kickoff
2026-D-USA-PAR-2026-06-12,elo-poisson-v1-drawboost-105-shadow,2026-06-16 06:22:47,,2026-06-13 01:00:00,FALSE,ILLEGAL_POST_KICKOFF,snapshotted_at >= kickoff
