match_id,date,home_team,away_team,home_team_id,away_team_id,exclusion_reason
2025-03-23_Eswatini_Mauritius,2025-03-24,Eswatini,Mauritius,,ht_MRI,home_team_id is None
2025-03-25_Bhutan_Yemen,2025-03-26,Bhutan,Yemen,,ht_YEM,home_team_id is None
2025-03-25_Singapore_Hong Kong,2025-03-26,Singapore,Hong Kong,ht_SIN,,away_team_id is None
2025-03-25_Taiwan_Turkmenistan,2025-03-26,Taiwan,Turkmenistan,,ht_TKM,home_team_id is None
2025-03-25_Niger_Bonaire,2025-03-26,Niger,Bonaire,ht_NIG,,away_team_id is None
2025-03-25_China_Australia,2025-03-26,China,Australia,,AUS,home_team_id is None
2025-05-25_Anguilla_Saint Kitts and Nevis,2025-05-26,Anguilla,Saint Kitts and Nevis,,ht_SKN,home_team_id is None
2025-06-01_Grenada_Anguilla,2025-06-02,Grenada,Anguilla,ht_GRN,,away_team_id is None
2025-06-04_Bangladesh_Bhutan,2025-06-05,Bangladesh,Bhutan,ht_BAN,,away_team_id is None
2025-06-04_Montserrat_Belize,2025-06-05,Montserrat,Belize,,ht_BLZ,home_team_id is None
2025-06-04_Saint Vincent and the Grenadines_Anguilla,2025-06-05,Saint Vincent and the Grenadines,Anguilla,ht_VIN,,away_team_id is None
2025-06-05_Hong Kong_Nepal,2025-06-06,Hong Kong,Nepal,,ht_NEP,home_team_id is None
2025-06-05_Indonesia_China,2025-06-06,Indonesia,China,ht_IDN,,away_team_id is None
2025-06-07_Anguilla_El Salvador,2025-06-08,Anguilla,El Salvador,,ht_SLV,home_team_id is None
2025-06-10_Brunei_Bhutan,2025-06-11,Brunei,Bhutan,ht_BRU,,away_team_id is None
2025-06-10_Hong Kong_India,2025-06-11,Hong Kong,India,,ht_IND,home_team_id is None
2025-06-10_Sri Lanka_Taiwan,2025-06-11,Sri Lanka,Taiwan,ht_SRI,,away_team_id is None
2025-06-10_China_Bahrain,2025-06-11,China,Bahrain,,ht_BHR,home_team_id is None
2025-06-10_Guyana_Montserrat,2025-06-11,Guyana,Montserrat,ht_GUY,,away_team_id is None
2025-09-04_Cameroon_Eswatini,2025-09-05,Cameroon,Eswatini,ht_CMR,,away_team_id is None
2025-09-04_Iraq_Hong Kong,2025-09-05,Iraq,Hong Kong,IRQ,,away_team_id is None
2025-09-05_Indonesia_Taiwan,2025-09-06,Indonesia,Taiwan,ht_IDN,,away_team_id is None
2025-09-07_Fiji_Hong Kong,2025-09-08,Fiji,Hong Kong,ht_FIJ,,away_team_id is None
2025-09-08_Libya_Eswatini,2025-09-09,Libya,Eswatini,ht_LBY,,away_team_id is None
2025-10-04_Saint Kitts and Nevis_Saint Martin,2025-10-05,Saint Kitts and Nevis,Saint Martin,ht_SKN,,away_team_id is None
2025-10-05_Saint Kitts and Nevis_Saint Martin,2025-10-06,Saint Kitts and Nevis,Saint Martin,ht_SKN,,away_team_id is None
2025-10-08_Eswatini_Angola,2025-10-09,Eswatini,Angola,,ht_ANG,home_team_id is None
2025-10-09_Lebanon_Bhutan,2025-10-10,Lebanon,Bhutan,ht_LBN,,away_team_id is None
2025-10-09_Bangladesh_Hong Kong,2025-10-10,Bangladesh,Hong Kong,ht_BAN,,away_team_id is None
2025-10-09_Thailand_Taiwan,2025-10-10,Thailand,Taiwan,ht_THA,,away_team_id is None
2025-10-13_Cape Verde_Eswatini,2025-10-14,Cape Verde,Eswatini,CPV,,away_team_id is None
2025-10-14_Bhutan_Lebanon,2025-10-15,Bhutan,Lebanon,,ht_LBN,home_team_id is None
2025-10-14_Hong Kong_Bangladesh,2025-10-15,Hong Kong,Bangladesh,,ht_BAN,home_team_id is None
2025-10-14_Taiwan_Thailand,2025-10-15,Taiwan,Thailand,,ht_THA,home_team_id is None
2025-11-12_Dominica_Saint Martin,2025-11-13,Dominica,Saint Martin,ht_DMA,,away_team_id is None
2025-11-12_Saint Kitts and Nevis_Sint Maarten,2025-11-13,Saint Kitts and Nevis,Sint Maarten,ht_SKN,,away_team_id is None
2025-11-12_Barbados_Bonaire,2025-11-13,Barbados,Bonaire,ht_BRB,,away_team_id is None
2025-11-12_Bahamas_Anguilla,2025-11-13,Bahamas,Anguilla,ht_BAH,,away_team_id is None
2025-11-13_Hong Kong_Cambodia,2025-11-14,Hong Kong,Cambodia,,ht_CAM,home_team_id is None
2025-11-15_Dominica_Sint Maarten,2025-11-16,Dominica,Sint Maarten,ht_DMA,,away_team_id is None
2025-11-15_Saint Martin_Belize,2025-11-16,Saint Martin,Belize,,ht_BLZ,home_team_id is None
2025-11-15_Guyana_Bonaire,2025-11-16,Guyana,Bonaire,ht_GUY,,away_team_id is None
2025-11-15_Cayman Islands_Anguilla,2025-11-16,Cayman Islands,Anguilla,ht_CAY,,away_team_id is None
2025-11-15_Basque Country_Palestine,2025-11-16,Basque Country,Palestine,,ht_PLE,home_team_id is None
2025-11-18_Yemen_Bhutan,2025-11-19,Yemen,Bhutan,ht_YEM,,away_team_id is None
2025-11-18_Hong Kong_Singapore,2025-11-19,Hong Kong,Singapore,,ht_SIN,home_team_id is None
2025-11-18_Turkmenistan_Taiwan,2025-11-19,Turkmenistan,Taiwan,ht_TKM,,away_team_id is None
2026-01-26_Uzbekistan_China,2026-01-27,Uzbekistan,China,UZB,,away_team_id is None
2026-03-25_United States Virgin Islands_American Samoa,2026-03-26,United States Virgin Islands,American Samoa,,ht_ASA,home_team_id is None
2026-03-26_Aruba_Macau,2026-03-27,Aruba,Macau,ht_ABW,,away_team_id is None
2026-03-26_Saint Martin_Barbados,2026-03-27,Saint Martin,Barbados,,ht_BRB,home_team_id is None
2026-03-26_Bonaire_Saint Vincent and the Grenadines,2026-03-27,Bonaire,Saint Vincent and the Grenadines,,ht_VIN,home_team_id is None
2026-03-26_Bahamas_Anguilla,2026-03-27,Bahamas,Anguilla,ht_BAH,,away_team_id is None
2026-03-27_China_Curaçao,2026-03-28,China,Curaçao,,CUW,home_team_id is None
2026-03-27_Belize_Sint Maarten,2026-03-28,Belize,Sint Maarten,ht_BLZ,,away_team_id is None
2026-03-28_Puerto Rico_United States Virgin Islands,2026-03-29,Puerto Rico,United States Virgin Islands,ht_PUR,,away_team_id is None
2026-03-29_Macau_Tanzania,2026-03-30,Macau,Tanzania,,ht_TAN,home_team_id is None
2026-03-29_British Virgin Islands_Anguilla,2026-03-30,British Virgin Islands,Anguilla,ht_VGB,,away_team_id is None
2026-03-30_Dominica_Sint Maarten,2026-03-31,Dominica,Sint Maarten,ht_DMA,,away_team_id is None
2026-03-31_Cameroon_China,2026-04-01,Cameroon,China,ht_CMR,,away_team_id is None
2026-06-04_Cambodia_Bhutan,2026-06-05,Cambodia,Bhutan,ht_CAM,,away_team_id is None
2026-06-05_Hong Kong_Mongolia,2026-06-06,Hong Kong,Mongolia,,ht_MNG,home_team_id is None
2026-06-05_Singapore_China,2026-06-06,Singapore,China,ht_SIN,,away_team_id is None
2026-06-06_British Virgin Islands_Bonaire,2026-06-07,British Virgin Islands,Bonaire,ht_VGB,,away_team_id is None
2026-06-09_Cambodia_Hong Kong,2026-06-10,Cambodia,Hong Kong,ht_CAM,,away_team_id is None
2026-06-09_China_Thailand,2026-06-10,China,Thailand,,ht_THA,home_team_id is None
